"ISO_Alpha_3","I_1","I_2","I_3","I_4","I_5","I_6","I_7","I_8","I_9","I_10","I_11","I_13","I_15","I_16","I_17","I_18","I_19","I_20","I_21","I_22","I_23","I_24","I_25","I_26"
"DNK",214059,0.260875333,83.3,4.778015358,5.507608817,612.2,7798.29,174,3.637,178323,77.6757909,17.56,2.5,14,72.22,17,0.0696671,0.9956,0.17,0.39248675,3455651,0.003895078,8.066100141,7597.333333
"DOM",NA,0.398196,90.9,0.558443249,1.527871362,1983,10703.11,1234,3.401,43335,18.69613738,23.02,12.3,0,38.71,58,0.276387,0.9763,0.163970623,0.054626571,977885,0.005857169,2.392416702,NA
"DZA",NA,0.051825567,83,0.58611699,2.115971704,1956,26214.77,0,3.035,266565,145.2546119,7.5,2.5,0,27.12,83,0.545666,0.9871,0.091678409,0.002129333,8598808,0.004663948,1.518909942,49969.33333
"ECU",55544,0.638957333,89.8,2.203767387,2.171272205,12547.876,25355.57,105,4.0645,193904,24.01221622,20.03,10.9,0,11.2,85,0.405378,0.9828,0.145150778,0.053871429,7431536,0.001586019,3.431780538,19321.32
"EGY",NA,NA,84.6,0.555668708,2.145986091,73,72554.35,241179,2.712,1311130,44.79425978,13.14,2.5,0,30.77,57,0.489805,0.998,0.081682021,0.008221833,17960905,0.000205072,2.378846945,26004.66667
"ERI",NA,0.021332067,88.6,1.297088076,0.420066653,1510,2178.57,0,3.266,466,NA,4.87,NA,0,13.33,NA,0.325858,0.9982,0.041719479,0.005118833,1023031,0,3.620354054,NA
"ESH",NA,NA,83.6,NA,NA,707,NA,NA,NA,NA,NA,5.69,NA,NA,NA,NA,0.433728,0.9999,NA,0.0070445,NA,NA,0.897632573,NA
"ESP",247200,0.271306,82.2,1.24830548,3.670135763,18417.87,78577.89,6000,3.63525,1101895,44.04841629,28.02,2.5,31,8.56,5,0.323558,0.9934,0.169961926,0.104331222,16093026,0.005936503,7.437408618,109288
"EST",1264498,0.436763333,87.5,10.53289166,6.858584082,2232,2212.35,2654,3.18,35806,NA,20.18,2.5,36,46.88,8,0.162927,0.9854,0.17,0.245440125,8e+06,0.009630986,4.209733997,1144.666667
"ETH",NA,0.068469133,89.7,0.581265593,1.018860697,12499,146607.03,45519,NA,236081,116.415019,18.47,32,0,9.38,14,0.511914,0.997,0.139637629,0.010122714,109683244,0.000853504,4.696252265,NA
"FIN",1233604,0.432377667,94.2,13.43737755,5.86681005,22218,4089.3,29476,2.834,157904,62.49962903,14.94,2.5,64,19.59,68,0.308146,0.9743,0.163422922,0.092288125,57033450,0.007982346,2.546162426,3084.426667
"FJI",85385,0.746627,102.1,2.373546274,2.897781814,1017.195,1652.16,2600,3.698,2739,NA,5.4,2.5,0,3.45,2,0.0836541,0.9924,0.082716911,0.023741,837000,0.001136333,0.502304178,NA
"FLK",NA,NA,93.2,NA,NA,0,NA,1,3.692,NA,NA,0.49,NA,NA,0,NA,0,0.9956,0.012758141,0.164694,771,0,1.458634098,NA
"FRA",149700,0.246872333,85.3,3.105658701,5.14219428,16989,81842.2,1187,NA,2200034,77.86993545,26.03,2.5,13,26.91,10,0.344133,0.9924,0.169950915,0.112487,52793897,0.002222039,10.91356332,137240.1333
"FRO",NA,NA,93.6,NA,NA,0.083,NA,0,4.091,NA,NA,2.34,2.5,NA,15.79,NA,0,0.9996,0.026848468,0.0782472,0,NA,NA,NA
"FSM",NA,0.250893667,NA,NA,NA,64.265,370.42,5,3.849,0,NA,4.28,NA,0,0,NA,0,NA,0.064319362,0.005011,2574,0,NA,NA
"GAB",2033627,0.632520333,84.3,26.30889585,2.016298576,23000,2240.64,11000,2.264,1831,66.15790703,20.14,2.5,0,50,58,0.409853,0.9977,0.161664706,0.005833714,3270000,0.001031655,5.546880676,NA
