"hdi_2018","ISO_Alpha_3","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
NA,"NIU",NA,NA,NA,1.62
NA,"MNP",NA,NA,NA,56.882
NA,"REU",NA,NA,NA,882.526
NA,"SHN",NA,NA,NA,6.035
NA,"SPM",NA,NA,NA,5.849
NA,"ESH",NA,NA,NA,567.402
NA,"TKL",NA,NA,NA,1.319
NA,"VIR",NA,NA,NA,104.68
NA,"WLF",NA,NA,NA,11.661
NA,"CHI",NA,NA,NA,170.499
NA,"IMN",NA,NA,NA,84.077
NA,"MYT",NA,NA,NA,259.531
NA,"BES",NA,NA,NA,25.711
NA,"MAF",NA,NA,NA,37.264
NA,"BLM",NA,NA,NA,9.816
