"ISO_Alpha_3","Names1","Names1_log","Names2","Names2_log","hdi_2018","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"PNG",NA,NA,NA,NA,"0.555",NA,24969.70315,27,8606.323
"PRY",NA,NA,NA,NA,"0.728",366.83,38086.70771,28,6956.066
"PSE",NA,NA,NA,NA,"0.708",NA,17058.7,NA,4862.979
"QAT",NA,NA,NA,NA,"0.848",438.9,183466.2088,63,2781.682
"ROU",NA,NA,NA,NA,"0.828",469.42,250075.9688,44,19506.114
"RUS",NA,NA,NA,NA,"0.824",551.63,1692930.151,30,145734.038
"RWA",NA,NA,NA,NA,"0.543",NA,10355.25071,54,12301.97
"SAU",NA,NA,NA,NA,"0.854",375.6,792966.9567,53,33702.756
"SDN",NA,NA,NA,NA,"0.51",NA,34895.36208,16,41801.533
"SEN",NA,NA,NA,NA,"0.512",NA,23664.51507,45,15854.323
"SGP",NA,NA,NA,NA,"0.938",619.17,372073.8917,85,5757.499
"SLB",NA,NA,NA,NA,"0.567",NA,1302.683941,42,652.857
"SLE",NA,NA,NA,NA,"0.452",NA,4121.733685,33,7650.15
"SLV",NA,NA,NA,NA,"0.673",NA,27022.64,36,6420.746
"SRB",NA,NA,NA,NA,"0.806",512.22,51475.03691,38,8802.754
"SSD",NA,NA,NA,NA,"0.433",NA,4959.75692,12,10975.927
"STP",NA,NA,NA,NA,"0.625",NA,421.777679,47,211.028
"SUR",NA,NA,NA,NA,"0.738",NA,3697.313623,38,575.99
"SVK",NA,NA,NA,NA,"0.86",495.32,105079.673,49,5453.014
"SVN",NA,NA,NA,NA,"0.917",518.04,54174.22731,60,2077.837
"SWZ",NA,NA,NA,NA,"0.611",NA,4594.332076,33,1136.281
"SYC",NA,NA,NA,NA,"0.796",NA,1698.865195,66,97.096
"SYR",NA,NA,NA,NA,"0.567",NA,20379.23255,14,16945.057
"TCD",NA,NA,NA,NA,"0.398",NA,11271.66391,21,15477.729
"TGO",NA,NA,NA,NA,"0.515",NA,7270.01341,29,7889.093
"THA",NA,NA,NA,NA,"0.777",440.25,542016.9892,36,69428.453
"TJK",NA,NA,NA,NA,"0.668",NA,8333.110653,25,9100.835
"TKM",NA,NA,NA,NA,"0.715",NA,48276.46671,19,5850.901
"TLS",NA,NA,NA,NA,"0.606",NA,2017.924924,40,1267.974
"TON",NA,NA,NA,NA,"0.725",NA,508.414689,NA,103.197
"TTO",NA,NA,NA,NA,"0.796",438.75,23208.52823,40,1389.843
"TUN",NA,NA,NA,NA,"0.74",384.12,38797.40893,44,11565.201
"TUR",NA,NA,NA,NA,"0.82",470.39,761425.5922,40,82340.088
"TZA",NA,NA,NA,NA,"0.529",NA,62942.61444,38,56313.438
"UGA",NA,NA,NA,NA,"0.544",NA,32609.11959,27,42729.036
"UKR",NA,NA,NA,NA,"0.779",NA,153781.1326,33,44246.156
"URY",NA,NA,NA,NA,"0.817",445.45,56045.9527,71,3449.285
"UZB",NA,NA,NA,NA,"0.72",NA,57921.28567,26,32476.244
"VCT",NA,NA,NA,NA,"0.738",NA,825.385185,59,110.211
"VEN",NA,NA,NA,NA,"0.711",NA,134960.2885,15,28887.118
"VNM",NA,NA,NA,NA,"0.704",520.04,261921.2292,36,95545.962
"VUT",NA,NA,NA,NA,"0.609",NA,906.666071,43,292.68
"WSM",NA,NA,NA,NA,"0.715",NA,844.656299,NA,196.129
"YEM",NA,NA,NA,NA,"0.47",NA,24935.39164,15,28498.683
"ZMB",NA,NA,NA,NA,"0.584",NA,23085.06114,33,17351.708
"ZWE",NA,NA,NA,NA,"0.571",NA,21440.75884,24,14438.802
"PRI",NA,NA,NA,NA,NA,396.29,104988.586,NA,3039.596
"TWN",NA,NA,NA,NA,NA,597.75,NA,65,23726.46
"BMU",NA,NA,NA,NA,NA,NA,7361.2,NA,62.756
"ABW",NA,NA,NA,NA,NA,NA,3293.04581,NA,105.845
"CYM",NA,NA,NA,NA,NA,NA,6020.184081,NA,64.174
"PYF",NA,NA,NA,NA,NA,NA,6023.367689,NA,277.679
"GRL",NA,NA,NA,NA,NA,NA,3023.601252,NA,56.564
"PRK",NA,NA,NA,NA,NA,NA,16331.45231,18,25549.604
"MCO",NA,NA,NA,NA,NA,NA,7423.907159,NA,38.682
"MSR",NA,NA,NA,NA,NA,NA,67.288889,NA,4.993
"NRU",NA,NA,NA,NA,NA,NA,132.846561,NA,10.67
"NCL",NA,NA,NA,NA,NA,NA,9879.709561,NA,279.993
"SMR",NA,NA,NA,NA,NA,NA,1602.030114,NA,33.785
"SOM",NA,NA,NA,NA,NA,NA,1626.302864,12,15008.226
"TCA",NA,NA,NA,NA,NA,NA,1197.42,NA,37.665
"TUV",NA,NA,NA,NA,NA,NA,47.003262,NA,11.508
"VGB",NA,NA,NA,NA,NA,NA,1296.954245,NA,29.802
"AIA",NA,NA,NA,NA,NA,NA,379.58436,NA,14.731
"CUW",NA,NA,NA,NA,NA,NA,3101.787709,NA,162.752
"SXM",NA,NA,NA,NA,NA,NA,1009,NA,41.94
"KSV",NA,NA,NA,NA,NA,NA,NA,36,NA
"ASM",NA,NA,NA,NA,NA,NA,NA,NA,55.465
"FRO",NA,NA,NA,NA,NA,NA,NA,NA,48.497
"FLK",NA,NA,NA,NA,NA,NA,NA,NA,3.234
"GIB",NA,NA,NA,NA,NA,NA,NA,NA,33.718
"GLP",NA,NA,NA,NA,NA,NA,NA,NA,399.848
"GUM",NA,NA,NA,NA,NA,NA,NA,NA,165.768
"VAT",NA,NA,NA,NA,NA,NA,NA,NA,0.801
"MTQ",NA,NA,NA,NA,NA,NA,NA,NA,375.673
"ANT",NA,NA,NA,NA,NA,NA,NA,NA,277.483
"NIU",NA,NA,NA,NA,NA,NA,NA,NA,1.62
"MNP",NA,NA,NA,NA,NA,NA,NA,NA,56.882
"REU",NA,NA,NA,NA,NA,NA,NA,NA,882.526
"SHN",NA,NA,NA,NA,NA,NA,NA,NA,6.035
"SPM",NA,NA,NA,NA,NA,NA,NA,NA,5.849
"ESH",NA,NA,NA,NA,NA,NA,NA,NA,567.402
"TKL",NA,NA,NA,NA,NA,NA,NA,NA,1.319
"VIR",NA,NA,NA,NA,NA,NA,NA,NA,104.68
"WLF",NA,NA,NA,NA,NA,NA,NA,NA,11.661
"CHI",NA,NA,NA,NA,NA,NA,NA,NA,170.499
"IMN",NA,NA,NA,NA,NA,NA,NA,NA,84.077
"MYT",NA,NA,NA,NA,NA,NA,NA,NA,259.531
"BES",NA,NA,NA,NA,NA,NA,NA,NA,25.711
"MAF",NA,NA,NA,NA,NA,NA,NA,NA,37.264
"BLM",NA,NA,NA,NA,NA,NA,NA,NA,9.816
