"ISO_Alpha_3","Names1","Names1_log","Names2","Names2_log","hdi_2018","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"ABW",5,1.6094379124341,2,0.693147180559945,NA,NA,3293.04581,NA,105.845
"ANT",5,1.6094379124341,4,1.38629436111989,NA,NA,NA,NA,277.483
"CYM",5,1.6094379124341,6,1.79175946922805,NA,NA,6020.184081,NA,64.174
"NIU",5,1.6094379124341,1,0,NA,NA,NA,NA,1.62
"BVT",4,1.38629436111989,NA,NA,NA,NA,NA,NA,NA
"CCK",4,1.38629436111989,NA,NA,NA,NA,NA,NA,NA
"DJI",4,1.38629436111989,1,0,"0.524",NA,3166.329057,27,958.923
"ESH",3,1.09861228866811,NA,NA,NA,NA,NA,NA,567.402
"LCA",3,1.09861228866811,1,0,"0.759",NA,2122.451852,56,181.889
"MSR",3,1.09861228866811,77,4.34380542185368,NA,NA,67.288889,NA,4.993
"NRU",3,1.09861228866811,1,0,NA,NA,132.846561,NA,10.67
"TKM",3,1.09861228866811,1,0,"0.715",NA,48276.46671,19,5850.901
"GGY",2,0.693147180559945,1,0,NA,NA,NA,NA,NA
"MNP",2,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,56.882
"IOT",1,0,2,0.693147180559945,NA,NA,NA,NA,NA
"LIE",1,0,17,2.83321334405622,"0.919",NA,6797.776288,NA,37.91
"MCO",1,0,50,3.91202300542815,NA,NA,7423.907159,NA,38.682
"NFK",1,0,NA,NA,NA,NA,NA,NA,NA
"SJM",1,0,NA,NA,NA,NA,NA,NA,NA
"TUV",1,0,1,0,NA,NA,47.003262,NA,11.508
"VCT",1,0,NA,NA,"0.738",NA,825.385185,59,110.211
"WLF",1,0,NA,NA,NA,NA,NA,NA,11.661
"SMR",NA,NA,5,1.6094379124341,NA,NA,1602.030114,NA,33.785
"SGS",NA,NA,2,0.693147180559945,NA,NA,NA,NA,NA
"ATG",NA,NA,NA,NA,"0.778",NA,1661.962963,NA,96.286
"CIV",NA,NA,NA,NA,"0.538",NA,58539.60623,36,25069.23
"COD",NA,NA,NA,NA,"0.48",NA,47319.6236,18,84068.091
"FSM",NA,NA,NA,NA,"0.62",NA,414.334298,NA,112.64
"GNB",NA,NA,NA,NA,"0.48",NA,1322.269762,19,1874.303
"KNA",NA,NA,NA,NA,"0.779",NA,1050.992593,NA,52.441
"LBY",NA,NA,NA,NA,"0.724",NA,32600.10248,17,6678.559
"MDA",NA,NA,NA,NA,"0.75",443.29,11955.45662,34,4051.944
"MKD",NA,NA,NA,NA,"0.774",389,12694.82339,35,2082.957
"PSE",NA,NA,NA,NA,"0.708",NA,17058.7,NA,4862.979
"SSD",NA,NA,NA,NA,"0.433",NA,4959.75692,12,10975.927
"SYR",NA,NA,NA,NA,"0.567",NA,20379.23255,14,16945.057
"TLS",NA,NA,NA,NA,"0.606",NA,2017.924924,40,1267.974
"TWN",NA,NA,NA,NA,NA,597.75,NA,65,23726.46
"VGB",NA,NA,NA,NA,NA,NA,1296.954245,NA,29.802
"CUW",NA,NA,NA,NA,NA,NA,3101.787709,NA,162.752
"SXM",NA,NA,NA,NA,NA,NA,1009,NA,41.94
"KSV",NA,NA,NA,NA,NA,NA,NA,36,NA
"FLK",NA,NA,NA,NA,NA,NA,NA,NA,3.234
"VAT",NA,NA,NA,NA,NA,NA,NA,NA,0.801
"REU",NA,NA,NA,NA,NA,NA,NA,NA,882.526
"SHN",NA,NA,NA,NA,NA,NA,NA,NA,6.035
"SPM",NA,NA,NA,NA,NA,NA,NA,NA,5.849
"TKL",NA,NA,NA,NA,NA,NA,NA,NA,1.319
"VIR",NA,NA,NA,NA,NA,NA,NA,NA,104.68
"CHI",NA,NA,NA,NA,NA,NA,NA,NA,170.499
"BES",NA,NA,NA,NA,NA,NA,NA,NA,25.711
"MAF",NA,NA,NA,NA,NA,NA,NA,NA,37.264
"BLM",NA,NA,NA,NA,NA,NA,NA,NA,9.816
